"region","prefecture","commune","classe","libelle_classe","ispe","rang","niveau_priorite","points_faibles","points_forts","z_faibles","z_forts","explication"
"Centrale","Blitta","Blitta 1",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",43.7,107,"Satisfaisant","Toilettes améliorées (WC / eau) (%)|Bâtiments construits depuis 2010 (%)|Établissements pour 100 km²","Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements|Points de toilettes pour 100 établissements","-0.99|-0.42|-0.36","0.7|0.77|2.33","Blitta 1 se situe au rang 107 sur 117 au niveau national avec un score ISPE de 43.7 (satisfaisant). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; bâtiments construits depuis 2010 (%) ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements ; points de toilettes pour 100 établissements."
"Centrale","Blitta","Blitta 2",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",42.7,110,"Satisfaisant","Toilettes améliorées (WC / eau) (%)|Établissements pour 100 km²|Bibliothèques pour 100 établissements","Établissements avec terrain de sport (%)|Enseignants du préscolaire pour 100 établissements|Points de toilettes pour 100 établissements","-0.57|-0.37|0","0.52|0.69|1.35","Blitta 2 se situe au rang 110 sur 117 au niveau national avec un score ISPE de 42.7 (satisfaisant). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; établissements pour 100 km² ; bibliothèques pour 100 établissements. Le territoire conserve des atouts relatifs sur : établissements avec terrain de sport (%) ; enseignants du préscolaire pour 100 établissements ; points de toilettes pour 100 établissements."
"Centrale","Blitta","Blitta 3",2,"Classe 2 — Priorité élevée : déficits marqués en infrastructures essentielles",55.4,57,"À surveiller","Points de toilettes pour 100 établissements|Bâtiments recensés par établissement|Établissements avec terrain de sport (%)","Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements|Bâtiments construits depuis 2010 (%)","-0.97|-0.57|-0.46","0.42|0.63|0.75","Blitta 3 se situe au rang 57 sur 117 au niveau national avec un score ISPE de 55.4 (à surveiller). Ce classement s'explique principalement par : points de toilettes pour 100 établissements ; bâtiments recensés par établissement ; établissements avec terrain de sport (%). Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements ; bâtiments construits depuis 2010 (%)."
"Centrale","Mô","Mô 1",2,"Classe 2 — Priorité élevée : déficits marqués en infrastructures essentielles",43.9,104,"Satisfaisant","Bâtiments recensés par établissement|Établissements pour 100 km²|Enseignants pour 100 jardins d'enfants","Établissements avec terrain de sport (%)|Toilettes améliorées (WC / eau) (%)|Bâtiments construits depuis 2010 (%)","-0.42|-0.4|-0.24","0.52|0.72|1.53","Mô 1 se situe au rang 104 sur 117 au niveau national avec un score ISPE de 43.9 (satisfaisant). Ce classement s'explique principalement par : bâtiments recensés par établissement ; établissements pour 100 km² ; enseignants pour 100 jardins d'enfants. Le territoire conserve des atouts relatifs sur : établissements avec terrain de sport (%) ; toilettes améliorées (wc / eau) (%) ; bâtiments construits depuis 2010 (%)."
"Centrale","Mô","Mô 2",1,"Classe 1 — Priorité critique : déficits marqués en couverture scolaire",44.9,101,"Satisfaisant","Toilettes améliorées (WC / eau) (%)|Bâtiments recensés par établissement|Établissements pour 100 km²","Points de toilettes pour 100 établissements|Établissements avec terrain de sport (%)|Bâtiments construits depuis 2010 (%)","-0.89|-0.51|-0.4","0.73|1.44|1.47","Mô 2 se situe au rang 101 sur 117 au niveau national avec un score ISPE de 44.9 (satisfaisant). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; bâtiments recensés par établissement ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : points de toilettes pour 100 établissements ; établissements avec terrain de sport (%) ; bâtiments construits depuis 2010 (%)."
"Centrale","Sotouboua","Sotouboua 1",2,"Classe 2 — Priorité élevée : déficits marqués en infrastructures essentielles",46.9,94,"Modéré","Bâtiments construits depuis 2010 (%)|Établissements pour 100 km²|Toilettes améliorées (WC / eau) (%)","Jardins d'enfants pour 100 écoles primaires|Enseignants pour 100 jardins d'enfants|Enseignants du préscolaire pour 100 établissements","-1.22|-0.38|-0.19","1.02|1.2|2.06","Sotouboua 1 se situe au rang 94 sur 117 au niveau national avec un score ISPE de 46.9 (modéré). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; établissements pour 100 km² ; toilettes améliorées (wc / eau) (%). Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; enseignants pour 100 jardins d'enfants ; enseignants du préscolaire pour 100 établissements."
"Centrale","Sotouboua","Sotouboua 2",2,"Classe 2 — Priorité élevée : déficits marqués en infrastructures essentielles",38.8,115,"Satisfaisant","Toilettes améliorées (WC / eau) (%)|Établissements pour 100 km²|Bâtiments recensés par établissement","Jardins d'enfants pour 100 écoles primaires|Enseignants pour 100 jardins d'enfants|Enseignants du préscolaire pour 100 établissements","-0.47|-0.38|-0.12","0.86|1.2|1.87","Sotouboua 2 se situe au rang 115 sur 117 au niveau national avec un score ISPE de 38.8 (satisfaisant). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; établissements pour 100 km² ; bâtiments recensés par établissement. Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; enseignants pour 100 jardins d'enfants ; enseignants du préscolaire pour 100 établissements."
"Centrale","Sotouboua","Sotouboua 3",2,"Classe 2 — Priorité élevée : déficits marqués en infrastructures essentielles",44.3,103,"Satisfaisant","Toilettes améliorées (WC / eau) (%)|Établissements pour 100 km²|Bâtiments construits depuis 2010 (%)","Enseignants pour 100 jardins d'enfants|Établissements avec terrain de sport (%)|Enseignants du préscolaire pour 100 établissements","-1.47|-0.38|-0.34","1.2|1.27|1.56","Sotouboua 3 se situe au rang 103 sur 117 au niveau national avec un score ISPE de 44.3 (satisfaisant). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; établissements pour 100 km² ; bâtiments construits depuis 2010 (%). Le territoire conserve des atouts relatifs sur : enseignants pour 100 jardins d'enfants ; établissements avec terrain de sport (%) ; enseignants du préscolaire pour 100 établissements."
"Centrale","Tchamba","Tchamba 1",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",46.5,96,"Satisfaisant","Jardins d'enfants pour 100 écoles primaires|Toilettes améliorées (WC / eau) (%)|Établissements pour 100 km²","Bâtiments construits depuis 2010 (%)|Points de toilettes pour 100 établissements|Enseignants pour 100 jardins d'enfants","-1.07|-0.72|-0.37","0.66|0.74|1.18","Tchamba 1 se situe au rang 96 sur 117 au niveau national avec un score ISPE de 46.5 (satisfaisant). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; toilettes améliorées (wc / eau) (%) ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : bâtiments construits depuis 2010 (%) ; points de toilettes pour 100 établissements ; enseignants pour 100 jardins d'enfants."
"Centrale","Tchamba","Tchamba 2",1,"Classe 1 — Priorité critique : déficits marqués en couverture scolaire",47.9,90,"Modéré","Jardins d'enfants pour 100 écoles primaires|Toilettes améliorées (WC / eau) (%)|Enseignants du préscolaire pour 100 établissements","Établissements avec terrain de sport (%)|Enseignants pour 100 jardins d'enfants|Bâtiments recensés par établissement","-1.84|-0.72|-0.65","1|1.18|1.42","Tchamba 2 se situe au rang 90 sur 117 au niveau national avec un score ISPE de 47.9 (modéré). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; toilettes améliorées (wc / eau) (%) ; enseignants du préscolaire pour 100 établissements. Le territoire conserve des atouts relatifs sur : établissements avec terrain de sport (%) ; enseignants pour 100 jardins d'enfants ; bâtiments recensés par établissement."
