"region","ordre","action","dimension","impact_attendu","confiance","justification"
"Centrale",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",83,"Densité de 12.8 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Modéré",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",78,"79.1 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Kara",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",83,"51.4% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Kara",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",78,"Densité de 17 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Kara",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Modéré",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Kara",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",78,"68 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Maritime",1,"Recruter et affecter des enseignants","Capacité enseignante","Élevé",83,"Taux d'encadrement estimé à 149.7 enseignants pour 100 jardins d'enfants, sous la référence nationale."
"Maritime",2,"Aménager des terrains de sport","Infrastructures essentielles","Élevé",83,"Seuls 22.9% des établissements disposent d'un terrain de sport."
"Maritime",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Modéré",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Plateaux",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Élevé",83,"Seulement 42.7 jardins d'enfants pour 100 écoles primaires."
"Plateaux",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Élevé",83,"52.2 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Plateaux",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Modéré",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes",1,"Construire des bibliothèques scolaires","Infrastructures essentielles","Modéré",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Savanes",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",78,"86.4 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
