"region","prefecture","classe","libelle_classe","ispe","rang","niveau_priorite","points_faibles","points_forts","z_faibles","z_forts","explication"
"Centrale","Blitta",4,"Classe 4 — Priorité faible : déficits marqués en couverture scolaire",48.3,31,"Modéré","Toilettes améliorées (WC / eau) (%)|Établissements pour 100 km²|Bâtiments recensés par établissement","Jardins d'enfants pour 100 écoles primaires|Enseignants du préscolaire pour 100 établissements|Points de toilettes pour 100 établissements","-0.8|-0.3|-0.17","0.58|0.64|1.14","Blitta se situe au rang 31 sur 39 au niveau national avec un score ISPE de 48.3 (modéré). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; établissements pour 100 km² ; bâtiments recensés par établissement. Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; enseignants du préscolaire pour 100 établissements ; points de toilettes pour 100 établissements."
"Centrale","Mô",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",39.9,38,"Satisfaisant","Bâtiments recensés par établissement|Établissements pour 100 km²|Enseignants pour 100 jardins d'enfants","Points de toilettes pour 100 établissements|Établissements avec terrain de sport (%)|Bâtiments construits depuis 2010 (%)","-0.66|-0.34|-0.21","0.47|1.1|2.04","Mô se situe au rang 38 sur 39 au niveau national avec un score ISPE de 39.9 (satisfaisant). Ce classement s'explique principalement par : bâtiments recensés par établissement ; établissements pour 100 km² ; enseignants pour 100 jardins d'enfants. Le territoire conserve des atouts relatifs sur : points de toilettes pour 100 établissements ; établissements avec terrain de sport (%) ; bâtiments construits depuis 2010 (%)."
"Centrale","Sotouboua",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",43.7,37,"Satisfaisant","Toilettes améliorées (WC / eau) (%)|Bâtiments construits depuis 2010 (%)|Établissements pour 100 km²","Jardins d'enfants pour 100 écoles primaires|Enseignants pour 100 jardins d'enfants|Enseignants du préscolaire pour 100 établissements","-0.7|-0.65|-0.3","1|1.05|1.76","Sotouboua se situe au rang 37 sur 39 au niveau national avec un score ISPE de 43.7 (satisfaisant). Ce classement s'explique principalement par : toilettes améliorées (wc / eau) (%) ; bâtiments construits depuis 2010 (%) ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; enseignants pour 100 jardins d'enfants ; enseignants du préscolaire pour 100 établissements."
"Centrale","Tchamba",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",53.5,24,"À surveiller","Jardins d'enfants pour 100 écoles primaires|Toilettes améliorées (WC / eau) (%)|Enseignants du préscolaire pour 100 établissements","Bâtiments construits depuis 2010 (%)|Bâtiments recensés par établissement|Enseignants pour 100 jardins d'enfants","-1.86|-0.94|-0.38","0.81|0.95|1.04","Tchamba se situe au rang 24 sur 39 au niveau national avec un score ISPE de 53.5 (à surveiller). Ce classement s'explique principalement par : jardins d'enfants pour 100 écoles primaires ; toilettes améliorées (wc / eau) (%) ; enseignants du préscolaire pour 100 établissements. Le territoire conserve des atouts relatifs sur : bâtiments construits depuis 2010 (%) ; bâtiments recensés par établissement ; enseignants pour 100 jardins d'enfants."
"Centrale","Tchaoudjo",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",46.2,33,"Satisfaisant","Bâtiments construits depuis 2010 (%)|Jardins d'enfants pour 100 écoles primaires|Établissements pour 100 km²","Points de toilettes pour 100 établissements|Enseignants du préscolaire pour 100 établissements|Enseignants pour 100 jardins d'enfants","-0.77|-0.34|-0.27","0.62|1.25|1.67","Tchaoudjo se situe au rang 33 sur 39 au niveau national avec un score ISPE de 46.2 (satisfaisant). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; jardins d'enfants pour 100 écoles primaires ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : points de toilettes pour 100 établissements ; enseignants du préscolaire pour 100 établissements ; enseignants pour 100 jardins d'enfants."
"Kara","Assoli",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",59.5,16,"Prioritaire","Bâtiments construits depuis 2010 (%)|Établissements pour 100 km²|Bâtiments recensés par établissement","Enseignants pour 100 jardins d'enfants|Points de toilettes pour 100 établissements|Établissements avec terrain de sport (%)","-1.54|-0.28|-0.24","0.41|0.52|0.67","Assoli se situe au rang 16 sur 39 au niveau national avec un score ISPE de 59.5 (prioritaire). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; établissements pour 100 km² ; bâtiments recensés par établissement. Le territoire conserve des atouts relatifs sur : enseignants pour 100 jardins d'enfants ; points de toilettes pour 100 établissements ; établissements avec terrain de sport (%)."
"Kara","Bassar",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",57.3,18,"À surveiller","Bâtiments recensés par établissement|Points de toilettes pour 100 établissements|Établissements pour 100 km²","Jardins d'enfants pour 100 écoles primaires|Établissements avec terrain de sport (%)|Toilettes améliorées (WC / eau) (%)","-1.03|-0.42|-0.31","0.35|0.48|0.56","Bassar se situe au rang 18 sur 39 au niveau national avec un score ISPE de 57.3 (à surveiller). Ce classement s'explique principalement par : bâtiments recensés par établissement ; points de toilettes pour 100 établissements ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; établissements avec terrain de sport (%) ; toilettes améliorées (wc / eau) (%)."
"Kara","Binah",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",47.8,32,"Modéré","Bâtiments recensés par établissement|Bâtiments construits depuis 2010 (%)|Établissements pour 100 km²","Établissements avec terrain de sport (%)|Enseignants du préscolaire pour 100 établissements|Jardins d'enfants pour 100 écoles primaires","-1.03|-0.26|-0.17","0.82|0.92|1.54","Binah se situe au rang 32 sur 39 au niveau national avec un score ISPE de 47.8 (modéré). Ce classement s'explique principalement par : bâtiments recensés par établissement ; bâtiments construits depuis 2010 (%) ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : établissements avec terrain de sport (%) ; enseignants du préscolaire pour 100 établissements ; jardins d'enfants pour 100 écoles primaires."
"Kara","Dankpen",2,"Classe 2 — Priorité élevée : déficits marqués en couverture scolaire",56.4,20,"À surveiller","Bâtiments recensés par établissement|Points de toilettes pour 100 établissements|Toilettes améliorées (WC / eau) (%)","Jardins d'enfants pour 100 écoles primaires|Bâtiments construits depuis 2010 (%)|Établissements avec terrain de sport (%)","-1.03|-0.62|-0.58","0.3|0.78|1.27","Dankpen se situe au rang 20 sur 39 au niveau national avec un score ISPE de 56.4 (à surveiller). Ce classement s'explique principalement par : bâtiments recensés par établissement ; points de toilettes pour 100 établissements ; toilettes améliorées (wc / eau) (%). Le territoire conserve des atouts relatifs sur : jardins d'enfants pour 100 écoles primaires ; bâtiments construits depuis 2010 (%) ; établissements avec terrain de sport (%)."
"Kara","Doufelgou",1,"Classe 1 — Priorité critique : déficits marqués en infrastructures essentielles",59.8,15,"Prioritaire","Bâtiments construits depuis 2010 (%)|Bâtiments recensés par établissement|Établissements pour 100 km²","Enseignants du préscolaire pour 100 établissements|Jardins d'enfants pour 100 écoles primaires|Établissements avec terrain de sport (%)","-1.28|-0.54|-0.28","0.18|0.58|0.99","Doufelgou se situe au rang 15 sur 39 au niveau national avec un score ISPE de 59.8 (prioritaire). Ce classement s'explique principalement par : bâtiments construits depuis 2010 (%) ; bâtiments recensés par établissement ; établissements pour 100 km². Le territoire conserve des atouts relatifs sur : enseignants du préscolaire pour 100 établissements ; jardins d'enfants pour 100 écoles primaires ; établissements avec terrain de sport (%)."
