"region","prefecture","ordre","action","dimension","impact_attendu","confiance","justification"
"Centrale","Blitta",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",80,"Densité de 13.4 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Blitta",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",75,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Blitta",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",75,"87.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Mô",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",67,"Densité de 5.4 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Mô",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",62,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Mô",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",62,"76 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Sotouboua",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",85,"51.1% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Centrale","Sotouboua",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",85,"Densité de 13.5 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Sotouboua",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",80,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Sotouboua",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",80,"74.4 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Tchamba",1,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Très élevé",84,"Seulement 23.4 jardins d'enfants pour 100 écoles primaires."
"Centrale","Tchamba",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",84,"Densité de 10.5 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Tchamba",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",79,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchamba",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",79,"75 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Tchaoudjo",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Élevé",83,"49.9% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Centrale","Tchaoudjo",2,"Développer l'offre préscolaire (jardins d'enfants)","Couverture scolaire","Moyen",83,"Seulement 45.8 jardins d'enfants pour 100 écoles primaires."
"Centrale","Tchaoudjo",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",78,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Tchaoudjo",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",78,"78.6 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
