"region","prefecture","commune","ordre","action","dimension","impact_attendu","confiance","justification"
"Centrale","Blitta","Blitta 1",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Moyen",73,"50.8% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Centrale","Blitta","Blitta 1",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",68,"Densité de 18.8 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Blitta","Blitta 1",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",68,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Blitta","Blitta 1",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",68,"113.3 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Blitta","Blitta 2",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Moyen",68,"Densité de 15.2 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Blitta","Blitta 2",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",63,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Blitta","Blitta 2",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",63,"94.2 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Blitta","Blitta 3",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",69,"Densité de 9.1 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Blitta","Blitta 3",2,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Très élevé",69,"49.2 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Blitta","Blitta 3",3,"Aménager des terrains de sport","Infrastructures essentielles","Moyen",64,"Seuls 28% des établissements disposent d'un terrain de sport."
"Centrale","Blitta","Blitta 3",4,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",64,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Mô","Mô 1",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",60,"Densité de 4.9 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Mô","Mô 1",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",55,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Mô","Mô 2",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Très élevé",60,"Densité de 6.7 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Mô","Mô 2",2,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",55,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Mô","Mô 2",3,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",55,"82.1 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Sotouboua","Sotouboua 1",1,"Réhabiliter et électrifier les bâtiments scolaires","Infrastructures essentielles","Très élevé",69,"39.7% de bâtiments construits depuis 2010 ; l'électrification nationale varie de 29% (primaire) à 66% (lycée) (UNESCO-ISU 2022)."
"Centrale","Sotouboua","Sotouboua 1",2,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",69,"Densité de 13.7 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
"Centrale","Sotouboua","Sotouboua 1",3,"Construire des bibliothèques scolaires","Infrastructures essentielles","Moyen",64,"Aucune bibliothèque scolaire recensée sur le territoire."
"Centrale","Sotouboua","Sotouboua 1",4,"Construire des blocs de toilettes et latrines améliorées","Infrastructures essentielles","Modéré",64,"64.8 points de toilettes pour 100 établissements ; au niveau national, seuls 6 à 38% des établissements disposent d'un assainissement de base (UNESCO-ISU 2022)."
"Centrale","Sotouboua","Sotouboua 2",1,"Construire de nouvelles écoles pour densifier le maillage","Couverture scolaire","Élevé",72,"Densité de 13.7 établissements/100 km² et complétude du cycle de 100%, parmi les plus faibles du pays."
